#{"t_start": 1603812255.831895, "env_id": "uwrt-arm-v0"}
r,l,t
-1221.146587,800,2.170439
-2185.742959,800,2.455124
6817.436498,800,2.742973
7379.541916,800,3.022065
2416.114426,800,3.305619
186.756936,800,3.586884
4635.767668,800,3.872896
-896.223119,800,4.160154
2390.41566,800,4.447963
9696.547225,800,4.717481
-241.439834,800,4.993138
-3151.725715,800,5.270603
-8162.060204,800,5.542328
5130.870706,800,5.821702
-4732.930249,800,6.104925
8674.338031,800,6.395368
218.356371,800,6.674892
-6291.003752,800,6.960053
-10151.442897,800,7.247477
-3335.522267,800,7.525599
1557.214332,800,7.803682
-1926.616538,800,8.099844
5773.47621,800,8.381023
-388.509661,800,8.674164
-9772.752652,800,8.964105
3982.882893,800,9.252803
3895.748791,800,9.534786
10033.306625,800,9.816241
1834.912148,800,10.103161
-1366.705081,800,10.391023
-147.713974,800,10.678892
465.219527,800,10.963253
-3084.75199,800,11.243152
9087.790343,800,11.533297
75.571719,800,11.800916
215.780005,800,12.089873
-6710.45787,800,12.370113
4804.876795,800,12.658544
-2877.640826,800,12.944659
-1192.667225,800,13.221432
1066.122261,800,13.522667
602.401066,800,13.818998
94.048327,800,14.108057
5013.624957,800,14.407265
6091.677123,800,14.689102
2613.006198,800,14.979528
-2631.493136,800,15.260392
-613.371071,800,15.53694
1256.502774,800,15.817761
-2978.112566,800,16.10142
-8325.671813,800,16.38325
3897.034839,800,16.666891
6005.418703,800,16.954684
-772.954315,800,17.236915
-4275.561264,800,17.514825
2817.213297,800,17.800273
8069.761422,800,18.091776
1082.643363,800,18.371778
6760.366416,800,18.656284
2346.219271,800,18.936855
5114.056528,800,19.221111
6672.874314,800,19.510665
-2422.356626,800,21.314363
2777.833003,800,24.321364
1530.648643,800,27.274478
7497.557545,800,29.881339
-2623.690704,800,32.813313
-6517.428771,800,35.736406
-5090.457442,800,38.548645
-6657.406127,800,41.535724
-4937.301347,800,44.589538
-10339.780188,800,47.45231
667.526722,800,50.381463
5277.384377,800,53.279767
11126.564384,800,55.354741
-4590.824631,800,57.629379
7799.602744,800,59.887859
10026.800075,800,62.46622
8668.082333,800,65.475132
7228.171405,800,68.460145
5740.530962,800,71.429956
-14877.653134,800,74.414263
-2203.501388,800,77.362175
2625.922042,800,80.314515
-4865.823972,800,83.25924
536.015859,800,86.260995
7446.963978,800,89.255777
1006.427974,800,92.231178
6510.371855,800,95.197531
7441.29799,800,98.171084
7776.276484,800,101.131919
12937.425797,800,104.108579
7349.479598,800,107.079407
8360.458845,800,110.031335
16315.25301,800,113.004045
3452.071613,800,115.997349
6922.560331,800,119.002072
11577.974918,800,121.770528
2800.094926,800,124.737368
12832.28761,800,127.462441
9318.541819,800,130.344351
12052.328208,800,133.349311
2998.250514,800,136.338746
8097.005761,800,139.332663
13375.250377,800,142.345592
7887.468964,800,145.331356
10883.995339,800,148.287358
12810.957649,800,151.257747
8678.898025,800,154.246054
12859.521207,800,157.236716
3737.361023,800,160.290259
-46.396288,800,162.740155
2621.888238,800,165.496055
2581.139717,800,168.57407
12352.373746,800,171.337166
15281.655028,800,174.253946
18622.356455,800,176.923768
11138.572356,800,179.921011
14121.004882,800,182.800654
13886.090268,800,185.757904
10863.939366,800,188.742398
13924.713163,800,191.711205
16646.948986,800,194.677548
17657.524058,800,197.653629
14529.107146,800,200.627046
5616.328898,800,203.35146
-2534.62204,800,205.680361
11600.029337,800,208.316087
1476.671645,800,211.318013
11380.979547,800,214.292419
10839.426258,800,217.189437
14465.381879,800,219.900393
16739.300123,800,222.882607
18295.971531,800,225.844439
7791.008189,800,228.807578
8606.055987,800,231.796376
15161.82155,800,234.791154
16491.528118,800,237.76048
13777.70808,800,240.754186
8704.92765,800,243.793576
16053.79262,800,246.719986
14127.909312,800,249.707867
13689.367533,800,252.683874
13631.941545,800,255.299213
11954.653144,800,258.289083
11896.643126,800,261.272743
9578.427106,800,264.270636
16536.23592,800,267.27762
12205.775258,800,270.273476
4144.199884,800,273.323058
11296.425247,800,275.841966
15877.978876,800,278.776805
13731.303647,800,281.68199
12683.331129,800,284.698713
7436.98529,800,287.577426
13737.002304,800,290.321775
12571.938717,800,292.952582
14472.77388,800,295.976983
16551.955745,800,299.020645
15392.491499,800,301.824485
15005.329715,800,304.809002
10602.820888,800,307.773904
16693.874177,800,310.731793
9500.965655,800,313.709417
12056.36456,800,316.682842
16419.11681,800,319.688125
9952.771148,800,322.650912
13122.054073,800,325.633479
11090.872154,800,328.642228
13271.950012,800,331.626599
16186.457425,800,334.592868
9412.320253,800,337.570905
16679.618385,800,340.563294
14870.143959,800,343.535461
16038.810401,800,346.520421
14300.989392,800,349.547557
18512.777399,800,352.558449
8732.412887,800,355.562839
7195.580995,800,358.538743
17663.699386,800,361.630388
8756.265053,800,364.792938
10902.523082,800,367.918122
11612.170693,800,370.584859
17498.207803,800,373.628742
12168.092775,800,376.387646
20090.195952,800,379.383998
10897.892123,800,382.375246
12798.427606,800,385.372463
11428.77093,800,388.351324
11610.890442,800,391.333809
20113.891457,800,394.316667
18189.865921,800,397.30336
12224.122348,800,400.286938
13246.930265,800,403.269023
21978.732263,800,406.230964
9812.838158,800,409.19687
13298.537308,800,412.162541
13280.255625,800,415.138967
10275.124806,800,418.142303
14870.877948,800,421.12143
10409.601358,800,424.109283
12857.664919,800,427.104254
11126.274496,800,430.06058
12505.300495,800,432.863509
14473.508149,800,434.985123
5847.2114,800,437.31646
10841.833097,800,440.317501
10102.974048,800,443.303874
11679.492569,800,446.290943
10261.871898,800,449.256249
12024.924904,800,452.242658
17891.182993,800,455.239866
13035.899842,800,458.225166
12377.349716,800,461.22711
21288.275547,800,464.209614
12395.248473,800,467.200053
13551.019132,800,470.181604
15858.374381,800,472.893099
22728.765856,800,475.880751
17337.179396,800,478.869358
13383.197102,800,481.850243
19914.802553,800,484.842681
21823.940429,800,487.834724
22045.128053,800,490.835121
11943.362489,800,493.82025
20418.100052,800,496.818494
5562.467992,800,499.053323
10244.50554,800,502.020672
17774.849051,800,505.033633
12851.509547,800,507.992262
13105.310136,800,510.983944
10330.589536,800,513.945408
7891.738272,800,516.914097
18773.496009,800,519.880277
21666.476521,800,522.856205
18444.815339,800,525.713958
18456.625824,800,528.69173
16857.568064,800,531.672557
22855.205727,800,534.699441
20115.985428,800,537.680629
14511.920056,800,540.689821
19475.67603,800,543.686541
17681.031275,800,546.660777
13466.331699,800,549.641215
18854.819359,800,552.627433
15784.553474,800,555.457609
16905.138385,800,558.358524
14031.434041,800,560.957831
19579.608907,800,563.839801
15352.740625,800,566.830058
14115.049472,800,569.820424
19469.953021,800,572.795203
15423.468822,800,575.791378
18119.099899,800,578.799302
18651.913488,800,581.762773
18419.276094,800,584.733475
19845.914489,800,587.708051
14387.245297,800,590.703909
13925.579864,800,593.694662
17195.178972,800,596.684811
11879.385284,800,599.663986
13330.01602,800,602.667763
17557.65661,800,605.662393
23191.273206,800,608.693392
10790.148261,800,611.679284
16358.896455,800,614.669474
17850.679426,800,617.66544
16435.354657,800,620.646322
16347.814535,800,623.650525
8369.214705,800,626.630575
19368.089573,800,629.619301
21090.403752,800,632.638898
10949.728984,800,635.678422
14406.866151,800,638.674114
19800.283174,800,641.667029
19123.494491,800,644.692357
17612.510982,800,647.708036
16329.705375,800,650.715349
19764.508279,800,653.713482
20920.279814,800,656.704254
22674.800362,800,659.71631
19982.607077,800,662.699882
18821.961688,800,665.695055
19069.398253,800,668.720118
22610.164502,800,671.716372
20510.501127,800,674.723785
18216.367111,800,677.736666
11251.029611,800,680.779274
22568.471047,800,683.648848
14411.079437,800,685.805819
21836.764264,800,688.422575
21255.583985,800,691.45448
20144.859585,800,694.461267
20342.921185,800,697.491293
21789.238612,800,700.5246
17774.343903,800,703.376537
24397.846822,800,706.072113
21088.384825,800,709.078572
20279.496317,800,712.106091
21722.958218,800,715.108888
22077.230275,800,718.118794
20932.046402,800,721.134562
21631.787008,800,724.139443
19175.895602,800,727.155729
22656.891365,800,730.056179
22464.81889,800,733.094877
22684.595679,800,735.925413
22385.85135,800,738.812548
23068.24766,800,741.857095
22136.063054,800,744.571007
16451.495862,800,746.713422
23452.508628,800,749.400343
15327.910593,800,752.447852
23746.456358,800,755.502937
14517.124492,800,758.511289
19817.39535,800,761.560025
16206.882496,800,764.614741
17425.008796,800,767.650551
25521.431066,800,770.703998
26143.322539,800,773.745154
24071.067511,800,776.781624
16132.437946,800,779.813988
24676.963285,800,782.851901
24051.089473,800,785.909203
18267.505714,800,788.952524
19393.435863,800,792.039636
17411.80764,800,795.141652
22476.125443,800,798.239331
17882.52635,800,801.251743
23881.764456,800,804.334361
25714.132926,800,807.419692
23576.965338,800,810.502026
17312.694006,800,813.170465
25465.380041,800,815.433574
14694.820777,800,818.401444
19972.476228,800,821.47121
16417.314494,800,824.555534
21857.788348,800,827.627376
22863.401568,800,830.691845
23263.607344,800,833.765058
16442.245357,800,836.833987
24729.799157,800,839.872437
20426.19217,800,842.932045
21161.995637,800,845.997258
17373.63425,800,849.104462
26114.050745,800,852.160694
20848.567881,800,855.248475
17322.663786,800,858.297274
27180.936551,800,861.399345
24540.821634,800,864.508826
23511.671926,800,867.591455
17194.298142,800,870.702201
24488.047764,800,873.854623
17163.190557,800,876.690163
24031.160119,800,879.846798
24991.50436,800,882.994683
26342.413494,800,886.246901
28047.014834,800,889.515325
24964.200866,800,892.814903
18170.481169,800,896.17922
27673.084809,800,899.472488
19484.143989,800,902.717872
23845.549995,800,905.92572
24640.638998,800,908.744829
25303.647847,800,911.495787
22855.099691,800,914.547777
21746.37128,800,917.208315
18359.392825,800,920.226516
17432.602833,800,923.182828
25373.790587,800,926.074685
25271.167813,800,929.278737
27056.994443,800,932.171152
24445.727257,800,935.502509
25449.604753,800,938.955758
23658.44989,800,942.381851
18848.465736,800,945.504418
23511.010279,800,948.443242
29362.342819,800,951.608439
18776.050702,800,954.885191
19671.236466,800,957.809651
21889.13931,800,960.68213
28614.235003,800,963.909262
22687.946907,800,967.598785
23434.584166,800,971.126129
22832.016933,800,974.348671
28060.527728,800,977.629511
29937.205023,800,980.915927
18067.529456,800,984.209624
23575.114189,800,987.221953
27170.637114,800,990.413119
26974.501906,800,993.043257
29454.392374,800,995.252424
22704.084763,800,998.380022
19779.25778,800,1001.551303
23877.652706,800,1004.42406
18818.135847,800,1007.357049
19563.94773,800,1010.03231
25796.946384,800,1013.230153
19697.850886,800,1016.47227
17636.212704,800,1019.599257
25648.700544,800,1022.54383
20451.73467,800,1025.806801
22887.996943,800,1028.836364
22093.317781,800,1031.169857
24884.425232,800,1034.286347
25432.275493,800,1036.525179
19489.786197,800,1039.536274
21002.025597,800,1042.239963
22957.148342,800,1045.405188
25269.321498,800,1048.704123
21168.824078,800,1051.867113
19010.716172,800,1055.05118
23846.949297,800,1058.23757
25944.700647,800,1061.426811
29381.297746,800,1064.495014
23390.40098,800,1067.6881
27291.303566,800,1071.159889
22166.105025,800,1074.352749
26895.583498,800,1077.501947
25409.954569,800,1080.481396
29284.563912,800,1083.537961
27530.052114,800,1086.714269
29070.246662,800,1089.650484
17893.376577,800,1092.654184
22702.835393,800,1095.749238
26185.437564,800,1098.977186
23881.758292,800,1102.685711
26862.324847,800,1105.816952
22127.72086,800,1108.965201
24513.32432,800,1112.102276
22477.398512,800,1115.247709
23629.329181,800,1118.389612
22553.170718,800,1121.65095
29660.036942,800,1124.751747
27094.049756,800,1127.833983
23476.552199,800,1130.951341
24365.940015,800,1134.148445
29592.956023,800,1137.411312
29668.191253,800,1140.60944
20469.076383,800,1143.752558
25015.808034,800,1146.917201
20160.871449,800,1150.088898
22068.70859,800,1153.214073
22189.740336,800,1156.365335
20551.865129,800,1159.524846
24840.957411,800,1162.686075
18078.258011,800,1165.868337
22321.125045,800,1168.440591
19493.516283,800,1170.702119
26219.787235,800,1173.76789
26643.572504,800,1176.746779
27806.031907,800,1179.921608
26801.11926,800,1183.009893
19241.021748,800,1186.167573
19845.231092,800,1189.289123
26208.846159,800,1192.428751
19219.628656,800,1195.562174
25123.273235,800,1198.535701
19908.592847,800,1200.756231
23781.792445,800,1202.961706
27554.756304,800,1205.65574
26689.600305,800,1208.791252
18059.19731,800,1211.940477
25990.389435,800,1215.073921
21399.963076,800,1218.206573
18041.502842,800,1221.341345
28123.677532,800,1224.577236
22242.916682,800,1227.836788
26837.986995,800,1230.678717
21125.298777,800,1233.372901
29938.731152,800,1236.500219
24415.549421,800,1239.717051
26756.377903,800,1242.969913
26416.047482,800,1246.080573
22766.609672,800,1249.137502
28170.452752,800,1252.296481
22025.678903,800,1255.004843
26851.369938,800,1257.247789
29538.188529,800,1260.261634
30113.888826,800,1263.372537
27283.135153,800,1266.607651
27142.384917,800,1269.833559
19662.829587,800,1272.966323
26603.598944,800,1275.895591
20845.042813,800,1278.880186
25227.279344,800,1282.191748
21669.954728,800,1285.405812
24919.227123,800,1288.7039
24892.371236,800,1291.395861
25013.624159,800,1294.571929
23649.625705,800,1297.760304
23345.396756,800,1300.97738
24976.015763,800,1304.089175
29619.732775,800,1307.233362
19512.612274,800,1310.420028
29331.082782,800,1313.556643
26225.235256,800,1316.689119
28081.264053,800,1319.50372
21758.876273,800,1322.642297
23053.347516,800,1325.445244
21595.194413,800,1328.451139
27415.824368,800,1331.602863
21047.229375,800,1334.787521
27745.487589,800,1337.930522
21110.312364,800,1340.561659
29456.724662,800,1343.167043
30541.079918,800,1345.370969
23472.874483,800,1347.580298
30055.664894,800,1349.777755
23130.035329,800,1352.723012
18622.562821,800,1355.100707
23056.073964,800,1358.185641
19399.183479,800,1361.355104
28885.021301,800,1364.521405
27717.774837,800,1367.609329
28967.157248,800,1370.768779
25119.7697,800,1373.817139
26007.296544,800,1376.916327
25596.48746,800,1380.059413
23886.608605,800,1383.209261
25895.490309,800,1386.375194
28870.862703,800,1389.528562
27042.969951,800,1392.652306
23912.44804,800,1395.777695
25308.093469,800,1398.996762
24256.865872,800,1402.128788
27539.182254,800,1405.297484
24382.93286,800,1408.465239
27737.848029,800,1411.643994
27533.354409,800,1414.696016
20112.724891,800,1417.849251
27761.862681,800,1420.99548
19900.849979,800,1424.145857
28131.710026,800,1427.572703
25773.086083,800,1430.709324
27545.709558,800,1433.31375
19488.386592,800,1436.423975
25813.274017,800,1439.602937
20109.508368,800,1442.651538
20029.864405,800,1445.85204
26322.424992,800,1449.053922
26361.927301,800,1451.928663
