#{"t_start": 1603812255.831895, "env_id": "uwrt-arm-v0"}
r,l,t
20388.423108,800,1454.880918
27482.783075,800,1458.047164
20880.169751,800,1461.209667
20643.121298,800,1464.496631
28010.143755,800,1467.873124
24513.198365,800,1471.751614
25181.47786,800,1475.170054
22755.412814,800,1478.341886
20860.15538,800,1481.491248
18497.234432,800,1484.637477
24405.36063,800,1487.724205
24123.794533,800,1490.846941
27330.11227,800,1494.227317
25746.477272,800,1497.654599
25924.88619,800,1500.737673
25360.283064,800,1503.539361
27025.462921,800,1506.232694
24710.797647,800,1509.417205
30342.312248,800,1512.682817
22155.203447,800,1515.947252
28432.386873,800,1519.15634
29355.159997,800,1522.220254
17759.576549,800,1525.377506
25624.491694,800,1528.393799
27032.906251,800,1531.582407
20566.670576,800,1534.717852
20733.005366,800,1537.792586
27723.489524,800,1540.552559
23989.212044,800,1543.729625
28286.987269,800,1546.952406
19379.515663,800,1550.154621
21572.959204,800,1553.352451
23515.471347,800,1556.325997
21828.747104,800,1559.575383
25909.148186,800,1562.304741
21567.360191,800,1565.538485
26940.589718,800,1568.730995
26731.672603,800,1571.505884
26682.680178,800,1574.830692
28178.099217,800,1577.915656
28348.221537,800,1580.100394
25903.633023,800,1582.824428
28606.769502,800,1585.957478
22320.813841,800,1589.21207
26579.56723,800,1592.384194
22516.374692,800,1595.595611
25759.400607,800,1598.681633
28317.446674,800,1601.861843
28714.19331,800,1605.080925
27617.706993,800,1608.152924
22633.701278,800,1611.334902
24596.114285,800,1614.906041
26089.383793,800,1618.092539
27252.124611,800,1621.418962
29675.788719,800,1624.977302
25585.629783,800,1628.134392
19875.082314,800,1631.311806
24312.403953,800,1634.53575
19218.566161,800,1637.694159
23793.807621,800,1640.648554
28011.61597,800,1644.160319
21809.271273,800,1647.479244
20856.584343,800,1650.648329
20504.786341,800,1653.873104
24803.702137,800,1656.915111
20110.44917,800,1659.834319
25224.165554,800,1662.988397
26608.49978,800,1666.107004
22501.927066,800,1669.293917
25836.987269,800,1672.529947
22080.077128,800,1675.655214
19888.201094,800,1678.805576
26935.00103,800,1682.02872
24799.201991,800,1685.230073
28903.765732,800,1688.498462
23070.928943,800,1691.64001
26403.860572,800,1694.848973
21810.167125,800,1698.211752
27139.668848,800,1701.709899
22456.827448,800,1705.216448
25404.74266,800,1708.641193
23996.883589,800,1712.216619
21275.006108,800,1715.745792
23657.522579,800,1718.992477
20112.354818,800,1722.618391
26607.692773,800,1725.994314
24899.494822,800,1729.173471
26569.906812,800,1732.323082
24975.097828,800,1735.898154
25635.095218,800,1739.599124
28626.92804,800,1743.003451
24895.754787,800,1745.975582
25502.458492,800,1749.158045
21858.251554,800,1752.372424
22901.24137,800,1755.495673
21731.989798,800,1758.481346
27920.254713,800,1761.533267
27093.811523,800,1764.597959
29334.270428,800,1767.618109
25525.94934,800,1770.815569
27450.778828,800,1773.974101
21104.481977,800,1777.265794
28025.788242,800,1780.383941
27970.714873,800,1783.445741
26358.162413,800,1786.641999
22283.340481,800,1789.85618
25332.343954,800,1792.777186
25695.721696,800,1796.015741
28728.530112,800,1799.470892
25893.709829,800,1802.49072
29258.571995,800,1805.667969
26434.663182,800,1809.017281
26507.238488,800,1812.212449
21800.319226,800,1815.358811
26216.285756,800,1818.556125
21956.124793,800,1821.732954
27003.302277,800,1824.918044
26231.231668,800,1828.083767
27694.139294,800,1831.248094
25508.441374,800,1834.377528
20863.195994,800,1837.441748
21091.847284,800,1840.590375
24711.032808,800,1843.342045
28000.370797,800,1846.203959
28789.145087,800,1849.346067
21652.568708,800,1852.773302
22296.205349,800,1856.120739
25399.195765,800,1858.827372
21245.903037,800,1861.968869
24967.878133,800,1865.101085
29038.569297,800,1868.241504
26268.019178,800,1871.405519
24290.003,800,1874.479952
25855.293158,800,1877.20082
25374.527322,800,1880.240449
21779.071984,800,1883.442364
28652.437227,800,1886.6752
23912.744616,800,1889.897817
27401.094426,800,1892.73603
25646.732261,800,1895.948635
20276.075393,800,1899.06178
22554.903175,800,1902.055338
24881.886964,800,1905.161221
24804.03917,800,1908.558155
24176.213914,800,1911.794926
30389.97497,800,1914.940058
23355.103511,800,1917.779745
27274.409941,800,1920.66497
25872.737017,800,1923.785888
22571.877956,800,1926.654368
27961.837059,800,1929.794136
21673.664494,800,1932.979366
24007.206379,800,1936.062347
23492.521146,800,1939.063942
26473.904299,800,1942.259134
22982.313524,800,1945.458707
26209.485943,800,1948.668537
23367.869744,800,1951.799945
22741.323167,800,1954.791589
22713.774794,800,1957.505091
26828.472317,800,1960.222533
29282.989872,800,1963.333364
24248.547085,800,1966.32287
22296.287444,800,1969.587913
21853.092855,800,1972.759762
25079.746238,800,1976.010872
26803.581553,800,1979.173347
23424.490806,800,1982.074641
25817.956463,800,1985.235164
24811.448842,800,1988.361559
21635.479397,800,1991.52146
22054.925232,800,1994.687354
27682.980759,800,1997.819613
27999.189276,800,2000.966952
25293.94642,800,2003.864513
28395.536489,800,2007.137345
28187.502939,800,2010.191184
24769.969565,800,2013.388222
21944.305967,800,2016.721655
26106.277501,800,2019.780852
27464.389105,800,2023.036105
27649.162865,800,2026.235998
24780.59698,800,2029.462929
22615.781501,800,2032.542567
24039.37134,800,2035.717362
23134.938213,800,2038.910227
26092.019963,800,2042.076013
24027.747259,800,2045.274386
24328.763463,800,2048.430246
22938.844806,800,2051.4685
25788.768163,800,2054.095821
28542.920821,800,2057.298517
27710.289654,800,2060.451849
25107.594807,800,2062.922613
23055.923754,800,2066.088813
21674.75283,800,2069.22796
22779.818434,800,2072.401948
28741.738505,800,2075.560383
25087.562181,800,2078.739223
22997.02602,800,2081.892581
26044.457833,800,2085.015948
26203.116591,800,2088.099153
24929.131876,800,2091.577096
23918.324085,800,2094.77398
29974.324873,800,2097.88271
27322.064537,800,2101.083336
24614.482959,800,2103.85779
23559.336639,800,2106.889293
26699.466033,800,2110.073277
28123.450043,800,2113.214297
26655.459053,800,2116.566918
27594.83944,800,2119.817791
24441.276856,800,2122.726299
26080.738068,800,2125.802178
26969.345693,800,2128.693931
26716.308714,800,2131.548786
23441.095096,800,2134.751319
24701.7197,800,2137.933948
28007.130291,800,2141.169753
27335.213974,800,2144.375986
23205.343032,800,2147.538529
24877.836496,800,2150.716346
22934.507041,800,2153.859226
27580.395666,800,2156.58053
24854.329313,800,2159.640574
23173.355164,800,2162.804038
27514.85166,800,2165.97471
26687.357974,800,2169.136508
23305.590418,800,2172.3095
28953.041666,800,2175.449567
28327.348098,800,2178.592771
22432.055524,800,2181.696905
25500.24147,800,2184.689342
24629.613447,800,2187.849824
23057.154629,800,2190.911439
27466.292357,800,2193.684135
23617.866743,800,2196.840019
23616.755444,800,2199.967121
27882.954713,800,2203.116508
24172.012152,800,2206.250023
29797.44613,800,2209.40106
26699.326608,800,2212.558563
29333.014207,800,2215.184812
25619.725475,800,2217.972699
27710.032488,800,2221.122124
23770.969701,800,2224.195113
27764.775662,800,2227.477958
26932.0529,800,2230.301338
27659.257001,800,2233.424778
23391.028044,800,2236.564152
23925.445256,800,2239.733569
23865.309727,800,2242.893984
23813.89388,800,2246.017248
24133.816764,800,2249.106585
25303.517666,800,2252.274396
25798.98075,800,2255.391118
24855.578156,800,2258.628214
22525.122821,800,2261.674174
28850.195669,800,2265.631578
22649.333839,800,2268.170337
24704.733782,800,2271.352159
27340.485809,800,2274.4881
21959.98491,800,2277.561935
24713.256417,800,2280.859461
23743.015863,800,2284.204206
26982.106563,800,2286.676801
23178.540753,800,2289.520427
27722.248671,800,2292.724026
27218.214802,800,2295.994575
28781.919706,800,2299.317648
23524.729429,800,2302.679059
24832.879271,800,2305.882754
24276.677588,800,2308.784322
26706.800611,800,2311.489278
26289.947175,800,2314.792601
27835.866791,800,2318.229542
27411.541516,800,2321.296248
24922.362383,800,2324.130999
25897.009946,800,2327.935355
25657.345235,800,2331.713137
27509.990218,800,2334.839325
28093.646985,800,2338.145025
26485.850401,800,2341.569278
25574.218358,800,2345.330532
25289.652809,800,2348.856323
24144.897933,800,2351.818851
24549.772446,800,2355.02399
24342.480071,800,2357.833332
28561.250529,800,2361.037768
30268.242807,800,2364.104985
26782.524681,800,2366.657215
22258.137414,800,2370.010843
29806.12555,800,2373.212514
28075.371987,800,2376.419696
26616.356314,800,2379.570391
25034.35763,800,2382.675994
25622.546016,800,2385.92219
26109.023778,800,2388.537686
23524.068017,800,2391.808693
25437.461287,800,2394.828013
26519.977047,800,2398.075678
27529.325726,800,2400.858605
28352.186598,800,2404.066097
27826.987977,800,2407.286237
25399.872012,800,2410.485841
25073.386041,800,2413.457155
27146.482389,800,2416.542145
22772.465612,800,2419.78803
26505.136517,800,2422.968015
25591.625465,800,2425.922787
27122.083399,800,2428.898114
25830.757231,800,2432.043452
26110.611683,800,2435.073722
27677.300952,800,2438.285285
22864.846974,800,2441.43399
29744.734906,800,2444.594646
25127.065742,800,2448.183122
25530.510257,800,2451.173495
27469.307035,800,2454.094462
23633.682218,800,2457.131943
29353.370842,800,2460.253914
26015.952943,800,2463.669461
26768.802929,800,2466.906457
24488.061182,800,2470.085561
26959.528883,800,2473.453611
24308.749849,800,2477.169525
29834.077929,800,2480.565691
26933.64195,800,2483.444952
25441.155626,800,2485.800726
28687.791267,800,2489.164435
25217.8072,800,2492.490384
24448.808491,800,2495.868798
29083.498391,800,2499.096654
24437.607577,800,2502.241122
23511.326489,800,2505.277632
24749.194238,800,2508.425086
27478.102955,800,2511.218064
25131.095853,800,2514.322684
24650.137433,800,2517.572322
26614.35302,800,2520.686579
28260.716217,800,2523.922077
26120.681884,800,2527.312243
25925.492352,800,2530.504849
26909.062216,800,2533.739216
29830.124427,800,2536.976071
24900.271346,800,2540.212289
23709.231251,800,2543.300496
25923.77426,800,2546.769304
27352.719202,800,2549.888823
26617.50844,800,2552.875744
25157.646542,800,2556.016405
27005.679281,800,2559.039707
26143.190643,800,2561.949296
26405.851042,800,2564.976323
24070.766912,800,2568.10804
22880.553262,800,2571.269724
23247.583068,800,2574.473322
31333.913911,800,2577.724728
26878.869261,800,2580.96589
28914.629474,800,2584.189917
28250.73658,800,2587.30297
24225.24396,800,2590.543516
27672.246388,800,2593.485493
27014.721741,800,2596.598385
22803.981537,800,2599.755812
29955.786202,800,2602.815706
28455.006551,800,2606.032066
29103.370602,800,2609.201304
24245.485356,800,2612.239847
30066.893113,800,2615.431723
24902.238348,800,2618.581881
25856.701779,800,2621.735426
24742.2729,800,2624.918152
28332.763328,800,2628.081171
26621.839396,800,2631.288134
28402.627683,800,2634.387039
24744.964775,800,2637.560178
28895.793101,800,2640.733426
28571.304272,800,2643.885293
25476.042548,800,2647.016584
26366.274409,800,2650.145131
26485.703358,800,2653.285943
25682.424278,800,2655.908275
26813.510998,800,2659.078057
23463.40612,800,2662.202606
25748.162995,800,2665.301708
25684.627921,800,2668.394167
27032.097589,800,2671.538313
25221.465784,800,2674.692867
23442.655881,800,2677.866105
25964.991197,800,2680.812806
24264.041571,800,2683.724082
25339.629585,800,2686.87698
25278.215227,800,2690.077774
26941.963746,800,2693.299948
24517.127123,800,2696.473363
28270.738703,800,2699.66551
24554.156721,800,2702.841323
27167.373564,800,2705.838874
24669.306314,800,2708.985548
26397.255594,800,2712.161014
27936.269498,800,2714.843831
26117.884531,800,2717.868742
22317.514264,800,2720.189437
24667.250233,800,2722.501658
26755.483009,800,2725.577392
28392.066494,800,2728.780887
29685.442701,800,2731.856191
24253.002347,800,2734.758543
24741.763651,800,2737.654246
29580.156207,800,2740.81173
30982.419259,800,2743.985393
25471.309785,800,2747.065428
24989.702353,800,2749.450056
31183.896784,800,2752.613221
25724.452704,800,2755.79052
26945.726553,800,2758.977865
25791.704571,800,2762.054208
23874.168423,800,2764.692965
30083.266973,800,2767.41904
28513.444105,800,2770.588563
31171.647844,800,2773.7591
25647.635924,800,2776.780882
24771.832897,800,2779.934821
29056.964254,800,2782.490837
25563.588443,800,2785.300139
29401.687486,800,2788.184849
29954.828772,800,2791.371328
25334.1952,800,2794.557541
25733.97412,800,2797.739759
30013.480264,800,2800.903248
24791.272062,800,2803.256636
25166.858594,800,2805.721741
25696.047712,800,2808.730496
28050.36176,800,2811.897998
25832.233208,800,2815.073866
29420.399678,800,2818.292569
28153.402039,800,2821.493127
29642.938281,800,2824.708102
25578.606215,800,2827.882987
26990.709839,800,2831.080433
24799.865083,800,2833.881092
26541.804664,800,2837.018305
28374.440543,800,2840.092537
25981.093464,800,2843.28014
25845.005726,800,2846.4498
28449.647806,800,2849.609502
28766.947952,800,2852.78727
25557.847764,800,2855.933252
27202.063016,800,2859.010311
27087.589357,800,2862.137598
28233.924579,800,2865.309826
30920.258373,800,2868.448784
27856.441017,800,2871.608838
26596.218989,800,2874.797843
25759.976162,800,2877.697001
26791.579023,800,2880.897713
29004.611902,800,2884.062286
27841.825394,800,2887.260185
27797.896986,800,2890.205391
28226.862707,800,2893.329225
26819.432595,800,2896.469697
27715.375523,800,2899.636527
27219.701392,800,2902.712632
25800.450131,800,2905.838126
25456.118729,800,2908.964891
29732.502337,800,2912.117904
25597.000854,800,2915.276174
29196.045026,800,2918.445301
30344.934009,800,2921.6064
28685.705242,800,2924.749937
26354.4099,800,2927.722159
28031.142164,800,2930.892007
25185.540884,800,2934.011032
26661.967927,800,2937.155229
25254.586136,800,2940.336223
30915.403862,800,2943.502304
26513.779034,800,2946.489609
